Model;K1_W2V;K1_RusVec;K2_W2V;K2_RusVec;K3_W2V;K3_RusVec;K4_W2V;K4_RusVec;K5_W2V;K5_RusVec;K6_W2V;K6_RusVec;K7_W2V;K7_RusVec;K8_W2V;K8_RusVec;K9_W2V;K9_RusVec;K10_W2V;K10_RusVec;K11_W2V;K11_RusVec;K12_W2V;K12_RusVec;K13_W2V;K13_RusVec
Trivial_model;0.09856675886346493;0.09856675886346493;1.302766393442623;1.302766393442623;0.14558232931726908;0.14558232931726908;0.3059682699571896;0.3059682699571896;0.669433962264151;0.669433962264151;0.34651898734177217;0.34651898734177217;0.4489795918367347;0.4489795918367347;0.7570664629488159;0.7570664629488159;0.6346006634345497;0.6346006634345497;0.6600255427841635;0.6600255427841635;0.019862490450725745;0.019862490450725745;0.12457737321196359;0.12457737321196359;3.8282619907168645;3.8282619907168645
Lasso;0.09346733668341708;0.09346733668341708;1.3084016393442623;1.3176229508196722;0.15261044176706828;0.15261044176706828;0.30614300100704933;0.30614300100704933;0.6609657947686117;0.6609657947686117;0.3575949367088608;0.3575949367088608;0.4602215508559919;0.4602215508559919;0.7668024439918534;0.7657841140529531;0.6285714285714286;0.6285714285714286;0.6557711950970377;0.6557711950970377;0.029531568228105907;0.029531568228105907;0.1288981288981289;0.1288981288981289;3.641237113402062;3.461855670103093
KNN;0.09346733668341708;0.0964824120603015;1.298155737704918;1.2889344262295082;0.15863453815261044;0.15562248995983935;0.3393756294058409;0.3363544813695871;0.6659959758551308;0.6720321931589537;0.3681434599156118;0.36075949367088606;0.5438066465256798;0.513595166163142;0.8258655804480651;0.7912423625254582;0.6551020408163265;0.6408163265306123;0.6782431052093973;0.6567926455566905;0.029531568228105907;0.029531568228105907;0.1288981288981289;0.12785862785862787;3.841237113402062;3.672164948453608
Tree_Cl;0.18592964824120603;0.2100502512562814;1.6905737704918034;1.709016393442623;0.25502008032128515;0.25;0.4068479355488419;0.40886203423967776;0.8702213279678068;0.8490945674044266;0.5791139240506329;0.5559071729957806;0.6515609264853978;0.6394763343403826;1.0641547861507128;1.0509164969450102;0.8489795918367347;0.8183673469387756;0.8283963227783453;0.8692543411644535;0.04073319755600815;0.0539714867617108;0.22661122661122662;0.2515592515592516;5.292783505154639;4.847422680412371
Tree_Reg;0.17788944723618091;0.17889447236180905;1.8043032786885247;1.7377049180327868;0.2469879518072289;0.2580321285140562;0.40584088620342396;0.4068479355488419;0.8561368209255533;0.8873239436619719;0.5822784810126582;0.5685654008438819;0.6304128902316214;0.6102719033232629;1.104887983706721;1.060081466395112;0.7887755102040817;0.7989795918367347;0.8600612870275791;0.8508682328907048;0.045824847250509164;0.04989816700610998;0.2203742203742204;0.26403326403326405;5.515463917525773;4.944329896907217
Log_Reg;0.09346733668341708;0.09748743718592964;1.2674180327868851;1.4118852459016393;0.15261044176706828;0.1686746987951807;0.297079556898288;0.3071500503524673;0.8450704225352113;0.806841046277666;0.3575949367088608;0.399789029535865;0.4602215508559919;0.47129909365558914;0.7729124236252546;0.8767820773930753;0.773469387755102;0.6969387755102041;0.8038815117466803;0.7997957099080695;0.029531568228105907;0.029531568228105907;0.1288981288981289;0.13617463617463618;3.9608247422680414;4.065979381443299
SVC;0.09346733668341708;0.09346733668341708;1.2848360655737705;1.276639344262295;0.15261044176706828;0.15261044176706828;0.30614300100704933;0.30614300100704933;0.9104627766599598;0.8782696177062375;0.3575949367088608;0.3575949367088608;0.4602215508559919;0.4602215508559919;0.7668024439918534;0.790224032586558;0.8316326530612245;0.6938775510204082;0.8059244126659857;0.8018386108273748;0.029531568228105907;0.029531568228105907;0.1288981288981289;0.1288981288981289;3.7876288659793813;3.7484536082474227
